,name,in_out,energy
10,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala terminalis/00000000066.jpg,0,"tensor([[11.6136]], device='cuda:0')"
11,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala terminalis/00000000495.jpg,0,"tensor([[15.8805]], device='cuda:0')"
12,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala terminalis/00000000755.jpg,0,"tensor([[20.5548]], device='cuda:0')"
13,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala terminalis/00000005744.jpg,0,"tensor([[16.6590]], device='cuda:0')"
14,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala terminalis/00000006632.jpg,0,"tensor([[22.9853]], device='cuda:0')"
15,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Achyra rantalis/00000002705.jpg,0,"tensor([[23.8773]], device='cuda:0')"
16,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia bipunctata/00000000394.jpg,0,"tensor([[7.7662]], device='cuda:0')"
17,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia bipunctata/00000000832.jpg,0,"tensor([[21.0951]], device='cuda:0')"
18,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia bipunctata/00000001440.jpg,0,"tensor([[12.6077]], device='cuda:0')"
19,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia bipunctata/00000002540.jpg,0,"tensor([[16.7681]], device='cuda:0')"
20,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia decempunctata/00000001187.jpg,0,"tensor([[18.6693]], device='cuda:0')"
21,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia decempunctata/00000002072.jpg,0,"tensor([[42.1202]], device='cuda:0')"
22,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adalia decempunctata/00000002146.jpg,0,"tensor([[14.9808]], device='cuda:0')"
23,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adelphocoris lineolatus/00000001338.jpg,0,"tensor([[7.4106]], device='cuda:0')"
24,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Adelphocoris lineolatus/00000001866.jpg,0,"tensor([[7.1897]], device='cuda:0')"
25,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Alaus oculatus/00000000819.jpg,0,"tensor([[20.3558]], device='cuda:0')"
26,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Alaus oculatus/00000003094.jpg,0,"tensor([[7.6489]], device='cuda:0')"
27,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Alaus oculatus/00000003246.jpg,0,"tensor([[45.2958]], device='cuda:0')"
28,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Alaus oculatus/00000003685.jpg,0,"tensor([[33.5641]], device='cuda:0')"
29,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Alaus oculatus/00000004146.jpg,0,"tensor([[6.9701]], device='cuda:0')"
30,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Amphimallon solstitiale/00000000120.jpg,0,"tensor([[32.8561]], device='cuda:0')"
31,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Anasa tristis/00000000493.jpg,0,"tensor([[38.6906]], device='cuda:0')"
32,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Anicla infecta/00000000070.jpg,0,"tensor([[23.4126]], device='cuda:0')"
33,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Anicla infecta/00000000133.jpg,0,"tensor([[36.8874]], device='cuda:0')"
34,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Anicla infecta/00000001643.jpg,0,"tensor([[18.1648]], device='cuda:0')"
35,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Anicla infecta/00000002108.jpg,0,"tensor([[-0.0157]], device='cuda:0')"
36,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Anicla infecta/00000003106.jpg,0,"tensor([[6.1959]], device='cuda:0')"
37,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000001923.jpg,0,"tensor([[33.3520]], device='cuda:0')"
38,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000005302.jpg,0,"tensor([[17.0523]], device='cuda:0')"
39,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000006142.jpg,0,"tensor([[42.0452]], device='cuda:0')"
40,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000007354.jpg,0,"tensor([[41.2515]], device='cuda:0')"
41,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000008854.jpg,0,"tensor([[39.3363]], device='cuda:0')"
42,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000012036.jpg,0,"tensor([[33.4948]], device='cuda:0')"
43,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000012929.jpg,0,"tensor([[45.5055]], device='cuda:0')"
44,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000013475.jpg,0,"tensor([[67.1591]], device='cuda:0')"
45,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000014381.jpg,0,"tensor([[35.3227]], device='cuda:0')"
46,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000014422.jpg,0,"tensor([[29.9544]], device='cuda:0')"
47,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000015171.jpg,0,"tensor([[16.1370]], device='cuda:0')"
48,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000018076.jpg,0,"tensor([[25.8434]], device='cuda:0')"
49,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000018292.jpg,0,"tensor([[50.1213]], device='cuda:0')"
50,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000019828.jpg,0,"tensor([[61.2993]], device='cuda:0')"
51,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000020482.jpg,0,"tensor([[42.7014]], device='cuda:0')"
52,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000021128.jpg,0,"tensor([[24.9997]], device='cuda:0')"
53,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000021224.jpg,0,"tensor([[25.8970]], device='cuda:0')"
54,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000021908.jpg,0,"tensor([[47.7366]], device='cuda:0')"
55,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000022815.jpg,0,"tensor([[29.2306]], device='cuda:0')"
56,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000024489.jpg,0,"tensor([[23.5650]], device='cuda:0')"
57,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000024935.jpg,0,"tensor([[29.1440]], device='cuda:0')"
58,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000025777.jpg,0,"tensor([[30.6668]], device='cuda:0')"
59,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000027705.jpg,0,"tensor([[36.4798]], device='cuda:0')"
60,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000027847.jpg,0,"tensor([[46.7346]], device='cuda:0')"
61,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000029143.jpg,0,"tensor([[66.7378]], device='cuda:0')"
62,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000029780.jpg,0,"tensor([[45.7627]], device='cuda:0')"
63,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000030013.jpg,0,"tensor([[49.4606]], device='cuda:0')"
64,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000030416.jpg,0,"tensor([[32.8770]], device='cuda:0')"
65,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000030827.jpg,0,"tensor([[44.9424]], device='cuda:0')"
66,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000031165.jpg,0,"tensor([[72.5639]], device='cuda:0')"
67,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000031395.jpg,0,"tensor([[37.5637]], device='cuda:0')"
68,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000031598.jpg,0,"tensor([[21.2559]], device='cuda:0')"
69,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000033447.jpg,0,"tensor([[45.5177]], device='cuda:0')"
70,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000034328.jpg,0,"tensor([[27.0415]], device='cuda:0')"
71,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000038008.jpg,0,"tensor([[26.5060]], device='cuda:0')"
72,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000038186.jpg,0,"tensor([[17.1418]], device='cuda:0')"
73,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000039701.jpg,0,"tensor([[41.5334]], device='cuda:0')"
74,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000040710.jpg,0,"tensor([[49.1725]], device='cuda:0')"
75,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000043632.jpg,0,"tensor([[53.3647]], device='cuda:0')"
76,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000044516.jpg,0,"tensor([[18.3921]], device='cuda:0')"
77,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000044795.jpg,0,"tensor([[43.4842]], device='cuda:0')"
78,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000046017.jpg,0,"tensor([[43.9315]], device='cuda:0')"
79,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000046031.jpg,0,"tensor([[58.4065]], device='cuda:0')"
80,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000046342.jpg,0,"tensor([[10.7559]], device='cuda:0')"
81,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000046946.jpg,0,"tensor([[51.1150]], device='cuda:0')"
82,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000047825.jpg,0,"tensor([[41.7430]], device='cuda:0')"
83,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000048305.jpg,0,"tensor([[27.1710]], device='cuda:0')"
84,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000050670.jpg,0,"tensor([[41.9637]], device='cuda:0')"
85,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000051529.jpg,0,"tensor([[27.5927]], device='cuda:0')"
86,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000051861.jpg,0,"tensor([[40.1907]], device='cuda:0')"
87,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000053951.jpg,0,"tensor([[35.3280]], device='cuda:0')"
88,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000054224.jpg,0,"tensor([[26.1904]], device='cuda:0')"
89,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000054558.jpg,0,"tensor([[23.1346]], device='cuda:0')"
90,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000054675.jpg,0,"tensor([[28.3389]], device='cuda:0')"
91,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000055644.jpg,0,"tensor([[48.9674]], device='cuda:0')"
92,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000057309.jpg,0,"tensor([[66.6065]], device='cuda:0')"
93,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000059349.jpg,0,"tensor([[34.5119]], device='cuda:0')"
94,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000060812.jpg,0,"tensor([[49.0700]], device='cuda:0')"
95,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000060940.jpg,0,"tensor([[59.0699]], device='cuda:0')"
96,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000061098.jpg,0,"tensor([[37.6928]], device='cuda:0')"
97,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000061530.jpg,0,"tensor([[36.5123]], device='cuda:0')"
98,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000061598.jpg,0,"tensor([[41.1179]], device='cuda:0')"
99,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000061864.jpg,0,"tensor([[32.1884]], device='cuda:0')"
100,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000062130.jpg,0,"tensor([[26.1861]], device='cuda:0')"
101,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000063200.jpg,0,"tensor([[36.9909]], device='cuda:0')"
102,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000063909.jpg,0,"tensor([[51.0388]], device='cuda:0')"
103,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000064194.jpg,0,"tensor([[30.3231]], device='cuda:0')"
104,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000064218.jpg,0,"tensor([[27.7404]], device='cuda:0')"
105,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000064227.jpg,0,"tensor([[30.7576]], device='cuda:0')"
106,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000064695.jpg,0,"tensor([[38.2628]], device='cuda:0')"
107,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000065416.jpg,0,"tensor([[36.5803]], device='cuda:0')"
108,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000065976.jpg,0,"tensor([[29.0087]], device='cuda:0')"
109,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000066221.jpg,0,"tensor([[42.9283]], device='cuda:0')"
110,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000067571.jpg,0,"tensor([[33.9442]], device='cuda:0')"
111,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000068371.jpg,0,"tensor([[60.6425]], device='cuda:0')"
112,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000069222.jpg,0,"tensor([[73.4375]], device='cuda:0')"
113,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000070450.jpg,0,"tensor([[45.2110]], device='cuda:0')"
114,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000070551.jpg,0,"tensor([[44.7468]], device='cuda:0')"
115,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000071659.jpg,0,"tensor([[50.1466]], device='cuda:0')"
116,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000073759.jpg,0,"tensor([[48.2360]], device='cuda:0')"
117,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000074189.jpg,0,"tensor([[57.9877]], device='cuda:0')"
118,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000074222.jpg,0,"tensor([[29.4635]], device='cuda:0')"
119,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000074338.jpg,0,"tensor([[43.2511]], device='cuda:0')"
120,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000075252.jpg,0,"tensor([[27.5511]], device='cuda:0')"
121,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000075681.jpg,0,"tensor([[25.3768]], device='cuda:0')"
122,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000075884.jpg,0,"tensor([[29.7524]], device='cuda:0')"
123,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000076872.jpg,0,"tensor([[70.8990]], device='cuda:0')"
124,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000076964.jpg,0,"tensor([[26.8211]], device='cuda:0')"
125,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000077269.jpg,0,"tensor([[74.4273]], device='cuda:0')"
126,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000079677.jpg,0,"tensor([[63.6915]], device='cuda:0')"
127,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000080182.jpg,0,"tensor([[25.8403]], device='cuda:0')"
128,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000080616.jpg,0,"tensor([[42.9292]], device='cuda:0')"
129,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000080681.jpg,0,"tensor([[48.1709]], device='cuda:0')"
130,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000081595.jpg,0,"tensor([[35.4187]], device='cuda:0')"
131,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000083342.jpg,0,"tensor([[54.9349]], device='cuda:0')"
132,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000084043.jpg,0,"tensor([[21.6663]], device='cuda:0')"
133,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Apis mellifera/00000084531.jpg,0,"tensor([[24.4696]], device='cuda:0')"
